CAMS Statement Mock Data
2022-02-13 67890 INF209K01AB3 9739 buy
2023-08-23 67890 INF200K01AB2 8110 buy
2023-10-02 12345 INF200K01AB2 1773 buy
2024-05-06 12345 INF209K01AB3 6956 buy
2020-09-07 67890 INF200K01AB2 4615 sell
2023-10-16 67890 INF209K01AB3 4041 buy
2020-11-27 12345 INF209K01AB3 3381 sell
2024-07-02 67890 INF209K01AB3 3123 buy
2020-10-18 12345 INF209K01AB3 8467 sell
2021-06-15 67890 INF209K01AB3 8859 sell
2022-05-21 67890 INF209K01AB3 2511 sell
2021-03-22 12345 INF200K01AB2 8329 buy
2022-03-13 67890 INF200K01AB2 7297 buy
2022-04-12 67890 INF200K01AB2 9248 sell
2022-01-08 67890 INF209K01AB3 9450 sell
2023-02-18 67890 INF209K01AB3 9888 sell
2021-11-23 12345 INF200K01AB2 6029 sell
2023-01-06 67890 INF200K01AB2 5286 buy
2021-09-24 12345 INF209K01AB3 1820 sell
2021-09-29 12345 INF209K01AB3 7408 buy
2022-03-09 12345 INF200K01AB2 2421 buy
2020-10-28 67890 INF200K01AB2 9379 buy
2023-11-13 12345 INF209K01AB3 8658 buy
2020-05-02 12345 INF200K01AB2 7172 sell
2023-01-17 12345 INF200K01AB2 7426 buy
2020-09-07 67890 INF209K01AB3 5912 buy
2022-01-19 12345 INF200K01AB2 7196 sell
2021-11-08 67890 INF209K01AB3 2257 sell
2023-12-15 67890 INF200K01AB2 4580 buy
2022-07-23 12345 INF200K01AB2 8536 buy
2023-11-03 12345 INF200K01AB2 7469 buy
2020-05-25 12345 INF209K01AB3 4455 buy
2022-07-18 67890 INF209K01AB3 5677 buy
2020-09-11 12345 INF209K01AB3 1747 buy
2024-07-22 12345 INF200K01AB2 3126 sell
2020-07-10 67890 INF200K01AB2 2617 sell
2020-02-24 67890 INF209K01AB3 1198 buy
2022-01-03 12345 INF209K01AB3 9422 sell
2020-05-14 67890 INF209K01AB3 1010 sell
2020-04-09 67890 INF209K01AB3 3433 buy
2024-06-02 67890 INF209K01AB3 8385 sell
2024-11-19 12345 INF209K01AB3 3586 buy
2020-11-09 67890 INF209K01AB3 3503 buy
2020-10-08 67890 INF200K01AB2 4572 sell
2020-01-20 12345 INF200K01AB2 3185 sell
2020-04-15 12345 INF209K01AB3 8088 sell
2021-04-04 12345 INF200K01AB2 6648 buy
2023-03-04 67890 INF209K01AB3 8061 sell
2021-02-12 12345 INF209K01AB3 9566 sell
2021-06-18 67890 INF209K01AB3 6737 sell
